Date,Month,Year,Quarter,Day_of_Week,Product,Units_Produced,Units_Sold,Wastage_Units,Raw_Material_Cost_INR,Revenue_INR,Profit_INR,Profit_Margin_Pct
2022-01-14,January,2022,Q1,Friday,Bread,124,110,12,1548.65,2420,871.35,36.01
2022-01-14,January,2022,Q1,Friday,Rusk,153,140,13,941.46,1680,738.54,43.96
2022-01-15,January,2022,Q1,Saturday,Cookies,183,172,10,1433.22,2580,1146.78,44.45
2022-01-15,January,2022,Q1,Saturday,Bread,120,98,17,1484.37,2156,671.63,31.15
2022-01-15,January,2022,Q1,Saturday,Rusk,166,141,22,1026.25,1692,665.75,39.35
2022-01-17,January,2022,Q1,Monday,Cookies,151,128,21,1212.75,1920,707.25,36.84
2022-01-17,January,2022,Q1,Monday,Bread,114,97,15,1343.1,2134,790.9,37.06
2022-01-17,January,2022,Q1,Monday,Rusk,124,114,9,738.58,1368,629.42,46.01
2022-01-18,January,2022,Q1,Tuesday,Cookies,172,148,23,1308.16,2220,911.84,41.07
2022-01-18,January,2022,Q1,Tuesday,Bread,108,97,9,1259.99,2134,874.01,40.96
2022-01-18,January,2022,Q1,Tuesday,Rusk,124,114,10,776.95,1368,591.05,43.21
2022-01-19,January,2022,Q1,Wednesday,Cookies,156,141,15,1273.34,2115,841.66,39.79
2022-01-19,January,2022,Q1,Wednesday,Bread,105,87,15,1318.27,1914,595.73,31.12
2022-01-19,January,2022,Q1,Wednesday,Rusk,128,116,12,752.71,1392,639.29,45.93
2022-01-20,January,2022,Q1,Thursday,Cookies,155,145,8,1253.59,2175,921.41,42.36
2022-01-20,January,2022,Q1,Thursday,Bread,108,101,5,1267.31,2222,954.69,42.97
2022-01-20,January,2022,Q1,Thursday,Rusk,146,132,10,844.89,1584,739.11,46.66
2022-01-21,January,2022,Q1,Friday,Cookies,193,163,28,1504.17,2445,940.83,38.48
2022-01-21,January,2022,Q1,Friday,Bread,134,118,16,1565.81,2596,1030.19,39.68
2022-01-21,January,2022,Q1,Friday,Rusk,169,150,14,1027.42,1800,772.58,42.92
2022-01-22,January,2022,Q1,Saturday,Cookies,199,176,20,1526.77,2640,1113.23,42.17
2022-01-22,January,2022,Q1,Saturday,Bread,138,123,11,1604.09,2706,1101.91,40.72
2022-01-22,January,2022,Q1,Saturday,Rusk,147,131,16,897.66,1572,674.34,42.9
2022-01-24,January,2022,Q1,Monday,Cookies,146,129,14,1136.05,1935,798.95,41.29
2022-01-24,January,2022,Q1,Monday,Bread,111,104,7,1357.43,2288,930.57,40.67
2022-01-24,January,2022,Q1,Monday,Rusk,131,109,18,757.51,1308,550.49,42.09
2022-01-25,January,2022,Q1,Tuesday,Cookies,156,145,9,1301.0,2175,874.0,40.18
2022-01-25,January,2022,Q1,Tuesday,Bread,116,103,8,1414.27,2266,851.73,37.59
2022-01-25,January,2022,Q1,Tuesday,Rusk,143,124,15,860.54,1488,627.46,42.17
2022-01-26,January,2022,Q1,Wednesday,Cookies,153,142,9,1272.62,2130,857.38,40.25
2022-01-26,January,2022,Q1,Wednesday,Bread,116,99,13,1369.59,2178,808.41,37.12
2022-01-26,January,2022,Q1,Wednesday,Rusk,130,114,15,810.97,1368,557.03,40.72
2022-01-27,January,2022,Q1,Thursday,Cookies,174,147,22,1411.77,2205,793.23,35.97
2022-01-27,January,2022,Q1,Thursday,Bread,99,93,6,1235.35,2046,810.65,39.62
2022-01-27,January,2022,Q1,Thursday,Rusk,137,131,6,789.24,1572,782.76,49.79
2022-01-28,January,2022,Q1,Friday,Cookies,200,185,10,1545.73,2775,1229.27,44.3
2022-01-28,January,2022,Q1,Friday,Bread,130,114,15,1583.71,2508,924.29,36.85
2022-01-28,January,2022,Q1,Friday,Rusk,153,133,18,893.88,1596,702.12,43.99
2022-01-29,January,2022,Q1,Saturday,Cookies,187,164,23,1518.39,2460,941.61,38.28
2022-01-29,January,2022,Q1,Saturday,Bread,138,122,15,1667.31,2684,1016.69,37.88
2022-01-29,January,2022,Q1,Saturday,Rusk,148,136,12,867.15,1632,764.85,46.87
2022-01-31,January,2022,Q1,Monday,Cookies,153,128,22,1210.92,1920,709.08,36.93
2022-01-31,January,2022,Q1,Monday,Bread,116,101,13,1433.04,2222,788.96,35.51
2022-01-31,January,2022,Q1,Monday,Rusk,135,118,14,809.39,1416,606.61,42.84
2022-02-01,February,2022,Q1,Tuesday,Cookies,112,94,13,876.36,1410,533.64,37.85
2022-02-01,February,2022,Q1,Tuesday,Bread,72,62,8,836.1,1364,527.9,38.7
2022-02-01,February,2022,Q1,Tuesday,Rusk,108,92,15,674.88,1104,429.12,38.87
2022-02-02,February,2022,Q1,Wednesday,Cookies,116,109,5,967.75,1635,667.25,40.81
2022-02-02,February,2022,Q1,Wednesday,Bread,78,65,11,979.39,1430,450.61,31.51
2022-02-02,February,2022,Q1,Wednesday,Rusk,107,98,8,634.62,1176,541.38,46.04
2022-02-03,February,2022,Q1,Thursday,Cookies,128,113,10,990.16,1695,704.84,41.58
2022-02-03,February,2022,Q1,Thursday,Bread,80,67,11,978.82,1474,495.18,33.59
2022-02-03,February,2022,Q1,Thursday,Rusk,101,90,6,612.97,1080,467.03,43.24
2022-02-04,February,2022,Q1,Friday,Cookies,158,143,10,1266.32,2145,878.68,40.96
2022-02-04,February,2022,Q1,Friday,Bread,103,86,12,1260.35,1892,631.65,33.39
2022-02-04,February,2022,Q1,Friday,Rusk,124,114,10,728.64,1368,639.36,46.74
2022-02-05,February,2022,Q1,Saturday,Cookies,152,129,19,1260.64,1935,674.36,34.85
2022-02-05,February,2022,Q1,Saturday,Bread,103,88,10,1236.19,1936,699.81,36.15
2022-02-05,February,2022,Q1,Saturday,Rusk,127,112,14,777.39,1344,566.61,42.16
2022-02-07,February,2022,Q1,Monday,Cookies,127,106,17,999.54,1590,590.46,37.14
2022-02-07,February,2022,Q1,Monday,Bread,78,69,4,943.33,1518,574.67,37.86
2022-02-07,February,2022,Q1,Monday,Rusk,90,81,8,542.3,972,429.7,44.21
2022-02-08,February,2022,Q1,Tuesday,Cookies,114,101,12,869.18,1515,645.82,42.63
2022-02-08,February,2022,Q1,Tuesday,Bread,72,60,9,851.92,1320,468.08,35.46
2022-02-08,February,2022,Q1,Tuesday,Rusk,92,80,9,566.9,960,393.1,40.95
2022-02-09,February,2022,Q1,Wednesday,Cookies,113,99,12,866.52,1485,618.48,41.65
2022-02-09,February,2022,Q1,Wednesday,Bread,72,60,7,867.51,1320,452.49,34.28
2022-02-09,February,2022,Q1,Wednesday,Rusk,102,85,12,641.12,1020,378.88,37.15
2022-02-10,February,2022,Q1,Thursday,Cookies,120,107,9,988.34,1605,616.66,38.42
2022-02-10,February,2022,Q1,Thursday,Bread,76,68,7,873.56,1496,622.44,41.61
2022-02-10,February,2022,Q1,Thursday,Rusk,90,72,13,558.14,864,305.86,35.4
2022-02-11,February,2022,Q1,Friday,Cookies,149,134,13,1153.06,2010,856.94,42.63
2022-02-11,February,2022,Q1,Friday,Bread,89,83,6,1073.26,1826,752.74,41.22
2022-02-11,February,2022,Q1,Friday,Rusk,125,110,14,733.5,1320,586.5,44.43
2022-02-12,February,2022,Q1,Saturday,Cookies,157,138,19,1262.83,2070,807.17,38.99
2022-02-12,February,2022,Q1,Saturday,Bread,98,87,9,1146.33,1914,767.67,40.11
2022-02-12,February,2022,Q1,Saturday,Rusk,116,99,14,662.2,1188,525.8,44.26
2022-02-14,February,2022,Q1,Monday,Cookies,110,102,6,839.58,1530,690.42,45.13
2022-02-14,February,2022,Q1,Monday,Bread,85,75,10,1017.37,1650,632.63,38.34
2022-02-14,February,2022,Q1,Monday,Rusk,91,81,9,544.55,972,427.45,43.98
2022-02-15,February,2022,Q1,Tuesday,Cookies,112,98,10,886.91,1470,583.09,39.67
2022-02-15,February,2022,Q1,Tuesday,Bread,81,67,9,927.8,1474,546.2,37.06
2022-02-15,February,2022,Q1,Tuesday,Rusk,97,85,10,582.18,1020,437.82,42.92
2022-02-16,February,2022,Q1,Wednesday,Cookies,128,113,14,989.48,1695,705.52,41.62
2022-02-16,February,2022,Q1,Wednesday,Bread,73,60,8,834.52,1320,485.48,36.78
2022-02-16,February,2022,Q1,Wednesday,Rusk,101,84,14,610.57,1008,397.43,39.43
2022-02-17,February,2022,Q1,Thursday,Cookies,117,101,13,932.09,1515,582.91,38.48
2022-02-17,February,2022,Q1,Thursday,Bread,80,64,11,949.07,1408,458.93,32.59
2022-02-17,February,2022,Q1,Thursday,Rusk,109,91,15,634.1,1092,457.9,41.93
2022-02-18,February,2022,Q1,Friday,Cookies,131,123,7,997.51,1845,847.49,45.93
2022-02-18,February,2022,Q1,Friday,Bread,88,76,10,1010.72,1672,661.28,39.55
2022-02-18,February,2022,Q1,Friday,Rusk,115,99,15,657.11,1188,530.89,44.69
2022-02-19,February,2022,Q1,Saturday,Cookies,153,141,11,1177.26,2115,937.74,44.34
2022-02-19,February,2022,Q1,Saturday,Bread,99,83,11,1232.84,1826,593.16,32.48
2022-02-19,February,2022,Q1,Saturday,Rusk,125,105,16,733.65,1260,526.35,41.77
2022-02-21,February,2022,Q1,Monday,Cookies,112,94,14,923.49,1410,486.51,34.5
2022-02-21,February,2022,Q1,Monday,Bread,87,78,7,1030.64,1716,685.36,39.94
2022-02-21,February,2022,Q1,Monday,Rusk,105,92,8,657.14,1104,446.86,40.48
2022-02-22,February,2022,Q1,Tuesday,Cookies,128,113,11,1049.69,1695,645.31,38.07
2022-02-22,February,2022,Q1,Tuesday,Bread,84,76,5,1048.58,1672,623.42,37.29
2022-02-22,February,2022,Q1,Tuesday,Rusk,100,83,13,589.2,996,406.8,40.84
2022-02-23,February,2022,Q1,Wednesday,Cookies,129,115,11,981.52,1725,743.48,43.1
2022-02-23,February,2022,Q1,Wednesday,Bread,86,79,5,1013.35,1738,724.65,41.69
2022-02-23,February,2022,Q1,Wednesday,Rusk,109,93,15,658.8,1116,457.2,40.97
2022-02-24,February,2022,Q1,Thursday,Cookies,123,111,11,963.65,1665,701.35,42.12
2022-02-24,February,2022,Q1,Thursday,Bread,77,64,9,947.32,1408,460.68,32.72
2022-02-24,February,2022,Q1,Thursday,Rusk,105,89,13,604.25,1068,463.75,43.42
2022-02-25,February,2022,Q1,Friday,Cookies,143,136,7,1149.67,2040,890.33,43.64
2022-02-25,February,2022,Q1,Friday,Bread,94,81,13,1111.18,1782,670.82,37.64
2022-02-25,February,2022,Q1,Friday,Rusk,110,103,7,677.26,1236,558.74,45.21
2022-02-26,February,2022,Q1,Saturday,Cookies,147,138,8,1127.09,2070,942.91,45.55
2022-02-26,February,2022,Q1,Saturday,Bread,99,89,5,1226.24,1958,731.76,37.37
2022-02-26,February,2022,Q1,Saturday,Rusk,124,116,7,713.11,1392,678.89,48.77
2022-02-28,February,2022,Q1,Monday,Cookies,131,115,11,1034.44,1725,690.56,40.03
2022-02-28,February,2022,Q1,Monday,Bread,85,70,12,1069.57,1540,470.43,30.55
2022-02-28,February,2022,Q1,Monday,Rusk,105,92,9,603.76,1104,500.24,45.31
2022-03-01,March,2022,Q1,Tuesday,Cookies,126,113,13,1000.36,1695,694.64,40.98
2022-03-01,March,2022,Q1,Tuesday,Bread,86,78,5,1031.24,1716,684.76,39.9
2022-03-01,March,2022,Q1,Tuesday,Rusk,90,79,8,516.04,948,431.96,45.57
2022-03-02,March,2022,Q1,Wednesday,Cookies,110,100,6,893.13,1500,606.87,40.46
2022-03-02,March,2022,Q1,Wednesday,Bread,83,72,8,1042.03,1584,541.97,34.22
2022-03-02,March,2022,Q1,Wednesday,Rusk,97,86,7,603.45,1032,428.55,41.53
2022-03-03,March,2022,Q1,Thursday,Cookies,113,95,16,859.9,1425,565.1,39.66
2022-03-03,March,2022,Q1,Thursday,Bread,87,79,4,1084.84,1738,653.16,37.58
2022-03-03,March,2022,Q1,Thursday,Rusk,100,86,14,574.43,1032,457.57,44.34
2022-03-04,March,2022,Q1,Friday,Cookies,145,119,21,1162.68,1785,622.32,34.86
2022-03-04,March,2022,Q1,Friday,Bread,98,82,11,1170.65,1804,633.35,35.11
2022-03-04,March,2022,Q1,Friday,Rusk,123,110,13,767.61,1320,552.39,41.85
2022-03-05,March,2022,Q1,Saturday,Cookies,130,115,10,1086.84,1725,638.16,36.99
2022-03-05,March,2022,Q1,Saturday,Bread,103,90,9,1250.85,1980,729.15,36.83
2022-03-05,March,2022,Q1,Saturday,Rusk,114,105,7,681.52,1260,578.48,45.91
2022-03-07,March,2022,Q1,Monday,Cookies,116,99,12,888.81,1485,596.19,40.15
2022-03-07,March,2022,Q1,Monday,Bread,87,73,12,1064.69,1606,541.31,33.71
2022-03-07,March,2022,Q1,Monday,Rusk,100,92,8,618.83,1104,485.17,43.95
2022-03-08,March,2022,Q1,Tuesday,Cookies,124,114,8,1032.76,1710,677.24,39.6
2022-03-08,March,2022,Q1,Tuesday,Bread,85,70,12,1043.02,1540,496.98,32.27
2022-03-08,March,2022,Q1,Tuesday,Rusk,102,92,9,638.48,1104,465.52,42.17
2022-03-09,March,2022,Q1,Wednesday,Cookies,128,119,6,975.5,1785,809.5,45.35
2022-03-09,March,2022,Q1,Wednesday,Bread,78,68,10,981.61,1496,514.39,34.38
2022-03-09,March,2022,Q1,Wednesday,Rusk,93,78,10,551.35,936,384.65,41.1
2022-03-10,March,2022,Q1,Thursday,Cookies,131,109,17,1083.46,1635,551.54,33.73
2022-03-10,March,2022,Q1,Thursday,Bread,79,70,7,926.52,1540,613.48,39.84
2022-03-10,March,2022,Q1,Thursday,Rusk,91,75,12,563.08,900,336.92,37.44
2022-03-11,March,2022,Q1,Friday,Cookies,158,134,23,1271.01,2010,738.99,36.77
2022-03-11,March,2022,Q1,Friday,Bread,101,83,14,1254.38,1826,571.62,31.3
2022-03-11,March,2022,Q1,Friday,Rusk,113,103,10,652.86,1236,583.14,47.18
2022-03-12,March,2022,Q1,Saturday,Cookies,157,135,17,1221.92,2025,803.08,39.66
2022-03-12,March,2022,Q1,Saturday,Bread,99,86,11,1171.15,1892,720.85,38.1
2022-03-12,March,2022,Q1,Saturday,Rusk,110,93,12,661.34,1116,454.66,40.74
2022-03-14,March,2022,Q1,Monday,Cookies,126,110,12,1043.5,1650,606.5,36.76
2022-03-14,March,2022,Q1,Monday,Bread,80,68,8,996.16,1496,499.84,33.41
2022-03-14,March,2022,Q1,Monday,Rusk,98,91,6,560.29,1092,531.71,48.69
2022-03-15,March,2022,Q1,Tuesday,Cookies,126,111,14,1028.57,1665,636.43,38.22
2022-03-15,March,2022,Q1,Tuesday,Bread,75,69,4,856.31,1518,661.69,43.59
2022-03-15,March,2022,Q1,Tuesday,Rusk,97,86,10,575.73,1032,456.27,44.21
2022-03-16,March,2022,Q1,Wednesday,Cookies,118,98,16,929.68,1470,540.32,36.76
2022-03-16,March,2022,Q1,Wednesday,Bread,80,66,10,950.07,1452,501.93,34.57
2022-03-16,March,2022,Q1,Wednesday,Rusk,102,89,13,639.51,1068,428.49,40.12
2022-03-17,March,2022,Q1,Thursday,Cookies,111,92,15,887.3,1380,492.7,35.7
2022-03-17,March,2022,Q1,Thursday,Bread,76,67,7,955.78,1474,518.22,35.16
2022-03-17,March,2022,Q1,Thursday,Rusk,99,88,8,601.92,1056,454.08,43.0
2022-03-18,March,2022,Q1,Friday,Cookies,136,129,7,1047.62,1935,887.38,45.86
2022-03-18,March,2022,Q1,Friday,Bread,88,83,5,1017.86,1826,808.14,44.26
2022-03-18,March,2022,Q1,Friday,Rusk,123,113,8,726.61,1356,629.39,46.42
2022-03-19,March,2022,Q1,Saturday,Cookies,155,138,15,1260.78,2070,809.22,39.09
2022-03-19,March,2022,Q1,Saturday,Bread,89,82,6,1018.96,1804,785.04,43.52
2022-03-19,March,2022,Q1,Saturday,Rusk,112,104,8,650.3,1248,597.7,47.89
2022-03-21,March,2022,Q1,Monday,Cookies,110,103,6,876.55,1545,668.45,43.27
2022-03-21,March,2022,Q1,Monday,Bread,75,65,6,900.31,1430,529.69,37.04
2022-03-21,March,2022,Q1,Monday,Rusk,103,98,5,636.5,1176,539.5,45.88
2022-03-22,March,2022,Q1,Tuesday,Cookies,123,116,7,1020.76,1740,719.24,41.34
2022-03-22,March,2022,Q1,Tuesday,Bread,86,77,4,1008.97,1694,685.03,40.44
2022-03-22,March,2022,Q1,Tuesday,Rusk,106,90,13,615.94,1080,464.06,42.97
2022-03-23,March,2022,Q1,Wednesday,Cookies,113,104,9,902.6,1560,657.4,42.14
2022-03-23,March,2022,Q1,Wednesday,Bread,81,70,7,968.36,1540,571.64,37.12
2022-03-23,March,2022,Q1,Wednesday,Rusk,104,98,5,608.55,1176,567.45,48.25
2022-03-24,March,2022,Q1,Thursday,Cookies,125,107,17,1001.17,1605,603.83,37.62
2022-03-24,March,2022,Q1,Thursday,Bread,80,71,4,954.95,1562,607.05,38.86
2022-03-24,March,2022,Q1,Thursday,Rusk,100,90,7,586.15,1080,493.85,45.73
2022-03-25,March,2022,Q1,Friday,Cookies,140,129,7,1100.07,1935,834.93,43.15
2022-03-25,March,2022,Q1,Friday,Bread,90,82,7,1038.93,1804,765.07,42.41
2022-03-25,March,2022,Q1,Friday,Rusk,129,113,14,787.86,1356,568.14,41.9
2022-03-26,March,2022,Q1,Saturday,Cookies,152,133,15,1165.77,1995,829.23,41.57
2022-03-26,March,2022,Q1,Saturday,Bread,96,82,10,1180.27,1804,623.73,34.57
2022-03-26,March,2022,Q1,Saturday,Rusk,118,108,7,692.69,1296,603.31,46.55
2022-03-28,March,2022,Q1,Monday,Cookies,116,102,13,934.57,1530,595.43,38.92
2022-03-28,March,2022,Q1,Monday,Bread,77,62,11,933.77,1364,430.23,31.54
2022-03-28,March,2022,Q1,Monday,Rusk,94,84,5,544.42,1008,463.58,45.99
2022-03-29,March,2022,Q1,Tuesday,Cookies,113,101,7,875.67,1515,639.33,42.2
2022-03-29,March,2022,Q1,Tuesday,Bread,76,70,5,948.19,1540,591.81,38.43
2022-03-29,March,2022,Q1,Tuesday,Rusk,91,77,9,541.11,924,382.89,41.44
2022-03-30,March,2022,Q1,Wednesday,Cookies,131,121,8,1037.3,1815,777.7,42.85
2022-03-30,March,2022,Q1,Wednesday,Bread,87,73,11,1077.1,1606,528.9,32.93
2022-03-30,March,2022,Q1,Wednesday,Rusk,95,84,6,579.61,1008,428.39,42.5
2022-03-31,March,2022,Q1,Thursday,Cookies,130,112,13,1047.45,1680,632.55,37.65
2022-03-31,March,2022,Q1,Thursday,Bread,76,65,9,883.46,1430,546.54,38.22
2022-03-31,March,2022,Q1,Thursday,Rusk,96,85,8,576.44,1020,443.56,43.49
2022-04-01,April,2022,Q2,Friday,Cookies,136,124,8,1100.04,1860,759.96,40.86
2022-04-01,April,2022,Q2,Friday,Bread,91,79,9,1054.26,1738,683.74,39.34
2022-04-01,April,2022,Q2,Friday,Rusk,119,107,12,682.0,1284,602.0,46.88
2022-04-02,April,2022,Q2,Saturday,Cookies,139,130,8,1063.45,1950,886.55,45.46
2022-04-02,April,2022,Q2,Saturday,Bread,105,96,8,1299.04,2112,812.96,38.49
2022-04-02,April,2022,Q2,Saturday,Rusk,114,101,13,701.8,1212,510.2,42.1
2022-04-04,April,2022,Q2,Monday,Cookies,122,109,11,967.4,1635,667.6,40.83
2022-04-04,April,2022,Q2,Monday,Bread,77,66,11,954.55,1452,497.45,34.26
2022-04-04,April,2022,Q2,Monday,Rusk,109,99,6,669.1,1188,518.9,43.68
2022-04-05,April,2022,Q2,Tuesday,Cookies,130,118,8,994.92,1770,775.08,43.79
2022-04-05,April,2022,Q2,Tuesday,Bread,83,74,8,1030.05,1628,597.95,36.73
2022-04-05,April,2022,Q2,Tuesday,Rusk,92,77,11,535.53,924,388.47,42.04
2022-04-06,April,2022,Q2,Wednesday,Cookies,111,103,7,915.93,1545,629.07,40.72
2022-04-06,April,2022,Q2,Wednesday,Bread,82,74,8,970.11,1628,657.89,40.41
2022-04-06,April,2022,Q2,Wednesday,Rusk,107,98,9,662.33,1176,513.67,43.68
2022-04-07,April,2022,Q2,Thursday,Cookies,118,103,10,940.48,1545,604.52,39.13
2022-04-07,April,2022,Q2,Thursday,Bread,76,62,9,912.25,1364,451.75,33.12
2022-04-07,April,2022,Q2,Thursday,Rusk,94,81,13,557.45,972,414.55,42.65
2022-04-08,April,2022,Q2,Friday,Cookies,145,124,20,1174.41,1860,685.59,36.86
2022-04-08,April,2022,Q2,Friday,Bread,88,76,12,1069.49,1672,602.51,36.04
2022-04-08,April,2022,Q2,Friday,Rusk,116,109,7,716.46,1308,591.54,45.22
2022-04-09,April,2022,Q2,Saturday,Cookies,147,130,15,1222.32,1950,727.68,37.32
2022-04-09,April,2022,Q2,Saturday,Bread,101,95,6,1189.18,2090,900.82,43.1
2022-04-09,April,2022,Q2,Saturday,Rusk,113,95,14,646.37,1140,493.63,43.3
2022-04-11,April,2022,Q2,Monday,Cookies,121,105,15,1004.47,1575,570.53,36.22
2022-04-11,April,2022,Q2,Monday,Bread,77,65,10,888.02,1430,541.98,37.9
2022-04-11,April,2022,Q2,Monday,Rusk,106,95,6,629.47,1140,510.53,44.78
2022-04-12,April,2022,Q2,Tuesday,Cookies,127,116,8,988.49,1740,751.51,43.19
2022-04-12,April,2022,Q2,Tuesday,Bread,83,72,10,1010.06,1584,573.94,36.23
2022-04-12,April,2022,Q2,Tuesday,Rusk,103,89,10,602.66,1068,465.34,43.57
2022-04-13,April,2022,Q2,Wednesday,Cookies,116,108,7,965.9,1620,654.1,40.38
2022-04-13,April,2022,Q2,Wednesday,Bread,81,69,7,968.31,1518,549.69,36.21
2022-04-13,April,2022,Q2,Wednesday,Rusk,108,97,7,653.59,1164,510.41,43.85
2022-04-14,April,2022,Q2,Thursday,Cookies,120,103,13,913.74,1545,631.26,40.86
2022-04-14,April,2022,Q2,Thursday,Bread,85,70,12,1026.64,1540,513.36,33.34
2022-04-14,April,2022,Q2,Thursday,Rusk,103,88,14,630.81,1056,425.19,40.26
2022-04-15,April,2022,Q2,Friday,Cookies,133,116,14,1075.35,1740,664.65,38.2
2022-04-15,April,2022,Q2,Friday,Bread,94,80,11,1177.0,1760,583.0,33.12
2022-04-15,April,2022,Q2,Friday,Rusk,130,117,12,749.83,1404,654.17,46.59
2022-04-16,April,2022,Q2,Saturday,Cookies,157,136,21,1208.86,2040,831.14,40.74
2022-04-16,April,2022,Q2,Saturday,Bread,104,90,14,1250.35,1980,729.65,36.85
2022-04-16,April,2022,Q2,Saturday,Rusk,122,107,10,699.41,1284,584.59,45.53
2022-04-18,April,2022,Q2,Monday,Cookies,116,98,15,882.03,1470,587.97,40.0
2022-04-18,April,2022,Q2,Monday,Bread,77,69,6,927.46,1518,590.54,38.9
2022-04-18,April,2022,Q2,Monday,Rusk,108,96,9,638.08,1152,513.92,44.61
2022-04-19,April,2022,Q2,Tuesday,Cookies,125,111,11,972.46,1665,692.54,41.59
2022-04-19,April,2022,Q2,Tuesday,Bread,79,71,5,917.32,1562,644.68,41.27
2022-04-19,April,2022,Q2,Tuesday,Rusk,99,85,9,618.64,1020,401.36,39.35
2022-04-20,April,2022,Q2,Wednesday,Cookies,116,104,12,940.27,1560,619.73,39.73
2022-04-20,April,2022,Q2,Wednesday,Bread,72,59,8,836.18,1298,461.82,35.58
2022-04-20,April,2022,Q2,Wednesday,Rusk,109,97,7,648.42,1164,515.58,44.29
2022-04-21,April,2022,Q2,Thursday,Cookies,110,89,16,880.19,1335,454.81,34.07
2022-04-21,April,2022,Q2,Thursday,Bread,81,77,4,996.3,1694,697.7,41.19
2022-04-21,April,2022,Q2,Thursday,Rusk,94,81,13,547.37,972,424.63,43.69
2022-04-22,April,2022,Q2,Friday,Cookies,135,125,7,1076.98,1875,798.02,42.56
2022-04-22,April,2022,Q2,Friday,Bread,97,87,5,1196.07,1914,717.93,37.51
2022-04-22,April,2022,Q2,Friday,Rusk,118,104,12,703.81,1248,544.19,43.6
2022-04-23,April,2022,Q2,Saturday,Cookies,141,127,14,1089.11,1905,815.89,42.83
2022-04-23,April,2022,Q2,Saturday,Bread,89,76,12,1115.65,1672,556.35,33.27
2022-04-23,April,2022,Q2,Saturday,Rusk,116,107,8,706.02,1284,577.98,45.01
2022-04-25,April,2022,Q2,Monday,Cookies,117,110,6,903.82,1650,746.18,45.22
2022-04-25,April,2022,Q2,Monday,Bread,83,70,9,948.9,1540,591.1,38.38
